DATE,Server Name,Data IN,Data OUT,Total
08-01-17,vpc-prod-vertex01,18.55 GiB,33.26 GiB,51.81 GiB
08-01-17,vpc-prod-vertex02,18.96 GiB,33.96 GiB,52.92 GiB
08-01-17,vpc-prod-vertex03,24.02 GiB,43.55 GiB,67.57 GiB
08-01-17,vpc-prod-vertex04,3.02 GiB,5.56 GiB,8.58 GiB
08-01-17,vpc-prod-vertex05,9.01 GiB,16.63 GiB,25.64 GiB
08-01-17,vpc-prod-vertex06,33.38 GiB,58.97 GiB,92.35 GiB
08-01-17,vpc-prod-vertex07,33.35 GiB,60.66 GiB,94.01 GiB
08-01-17,vpc-prod-vertex08,19.15 GiB,34.26 GiB,53.41 GiB
08-01-17,vpc-prod-vertex09,9.01 GiB,16.39 GiB,25.40 GiB
08-01-17,vpc-prod-vertex10,7.86 GiB,14.30 GiB,22.16 GiB
08-01-17,vpc-prod-vertex11,8.60 GiB,16.16 GiB,24.75 GiB
08-01-17,vpc-prod-vertex12,18.58 GiB,33.76 GiB,52.34 GiB
08-01-17,vpc-prod-vertex13,22.75 GiB,42.05 GiB,64.81 GiB
08-01-17,vpc-prod-vertex14,199.54 GiB,335.99 GiB,535.53 GiB
08-01-17,vpc-prod-vertex15,22.66 GiB,40.58 GiB,63.24 GiB
08-01-17,vpc-prod-vertex16,11.47 GiB,20.86 GiB,32.33 GiB
08-01-17,vpc-prod-vertex21,91.84 GiB,168.10 GiB,259.94 GiB
08-01-17,vpc-prod-vertex23,33.76 GiB,64.08 GiB,97.84 GiB
08-01-17,vpc-prod-vertex25,536.22 GiB,956.92 GiB,1.46 TiB
08-01-17,vpc-prod-vertex26,62.83 GiB,117.62 GiB,180.45 GiB
08-01-17,vpc-prod-vertex28,166.78 GiB,299.16 GiB,465.94 GiB
08-01-17,vpc-prod-vertex29,69.31 GiB,128.07 GiB,197.38 GiB
08-01-17,vpc-prod-vertex31,168.53 GiB,302.23 GiB,470.76 GiB
08-01-17,vpc-prod-vertex32,133.05 GiB,242.11 GiB,375.17 GiB
08-01-17,vpc-prod-vertex34,44.43 GiB,82.00 GiB,126.43 GiB
08-01-17,vpc-prod-vertex35,159.06 GiB,289.62 GiB,448.68 GiB
08-01-17,vpc-prod-vertex40,345.94 GiB,603.80 GiB,949.74 GiB
08-01-17,vpc-prod-vertex41,193.75 GiB,352.82 GiB,546.57 GiB
08-01-17,vpc-prod-vertex43,160.98 GiB,293.12 GiB,454.09 GiB
08-01-17,vpc-prod-vertex46,12.45 GiB,22.62 GiB,35.06 GiB
08-01-17,vpc-prod-vertex49,191.54 GiB,338.24 GiB,529.78 GiB
08-01-17,vpc-prod-vertex52,29.05 GiB,55.23 GiB,84.28 GiB
08-01-17,vpc-prod-vertex55,552.66 GiB,893.78 GiB,1.41 TiB
